查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
94,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-1",566,1282400,365,754016,159,512696
95,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=dqpop5-2",522,1234100,417,805840,167,502888
96,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-1",609,1441900,403,769680,122,362008
97,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-2",618,1450600,339,629024,140,431480
98,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-3",229,598000,145,299088,44,138368
99,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=fxpop5-qy",2,9600,74,130856,13,33512
100,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop2-2",733,1890800,396,751152,177,527216
101,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_1",487,1037300,267,484280,105,307632
102,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=jdpop3_qy",4,13000,197,577056,19,79968
103,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-1",362,951800,176,348000,84,255888
104,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=jdpop4-2",461,1005500,308,592568,103,313816
